mackay_no,field_no,area,block,level_ft,phase_estimate,context
135,,,7,,,"e was evidently considered essential for aesthetic reasons (seals 135, 310, 334, 378, 430, 436, 441, 467, 488). Some of the seals are made of a fine black steatite, eg.,"
19,,,7,,,"ssume a normal position. There is a boss of unusual form on seal 19 (Pl. XC, 4) that resembles a plain rounded stud with deep groove round the base ; this groove is no"
299,,,7,,,"the unusual boss of seal 479 which is shown in PI. C, (C). Seal 299 has no boss, and the perforation through the body of the seal is blocked up by a piece of copper or"
520,,,7,,,"whose obverse and reverse are shown in Pl. XC, 1, and also seal 520 are made of silver and are the only two of this material found at Mohenjo-daro, It is probable that"
658,,,7,,,here is reason to think that this object is an importation. Seal 658 is made of limestone. Seal 653 was made of some kind of white composition that looks like finely po
653,,,7,,,"is object is an importation. Seal 658 is made of limestone. Seal 653 was made of some kind of white composition that looks like finely powdered steatite, and the figure"
8,,,7,,,"been an experiment. Arrangement of Animals. The animals on seals, 8, 135, 279, 330, 510, 512, 520, 547, 644, 673 and 684 face the reverse way from the usual, a departu"
353,,,7,,,"Egypt 2 Mohenjo-daro and the Indus Civilization, pl. CXT., seals 353, 355. 3 Wilson, The Vishnu Purana, vol. IV, p. 281, n. 1. d is seen on a stone slab found 4 This ac"
10,DK 8520,DK,7,,,"us: Long Lane. bet. Bls. 10A and 11. Level: - 23 ft. SEALS, SEAL No. 10 (DK 8520). in section. Pottery; noslip. Very worn. Locus: bull. First IMPRESSIONS, COPPER TABLETS."
12,,,7,,,". 4 Mohenjo-daro and the Indus Civilization, pl. CXVII, 11. SEALS, No. 12 (DK SEAL IMPRESSIONS, 7847). Faience; AND COPPER a grey paste with TABLETS. 363 a glaze, now yellow"
386,,,8A,,,"aro and the Indus Civilization, pl. CXII, 383. The motif on Seal 386 in the plate may be allied to it. eeva oie i GENERAL SURVEY, 659 in point of numbers. I am not alon"
312,,,8A,,,"is a * Mohenjo-daro and the Indus Civilization, possibly on Seal 312 and certainly on Seal 194. Examples occur on two seals in this book, Nos, 228 and 422. 5 Two exampl"
194,,,8A,,,"e Indus Civilization, possibly on Seal 312 and certainly on Seal 194. Examples occur on two seals in this book, Nos, 228 and 422. 5 Two examples are pictured on a small"
38,,,8A,,,"3, 4, pp. 1-20. 2 Mohenjo-daro and the Indus Civilization, Seal 38. 3 Der Alte Orient, pp. 7, 8. pp. 359-76. See Duerst in Pumpelly, Hxplorations in Turkestan (1908),"
367,,,8A,,,"VII, 59. Der Alte Orient, p. 11, pl. 2, fig. 5. on, p. 388, seals 367, 371, 372, 534, 535. OF APPENDIX. 671 characteristic of the Indian elephant, although the animal’s"
59,,,8A,,,"Indus Civilization, pl. CXII, 365, 372, 375; present book, seals 59, 171, 512. 8 Der Alte Orient, pp. 10, 11. 4 Capart, Primitive Art in Egypt, p. 236, fig. 175. and i"
325,,,8A,,,"isted forms, 350, 356, 359, 360 ;unusual types, 523 ;use as seals, 325-351 ; varieties favoured, 350. ; 394 palette, ; 567 565, 397, 399; marbles, Amin, 268. plaques, 394"
335,,,8A,,,"5, 286, 287, 290-293, 295, 296, Armlets, worn by figures on seals, 335, 338. scales of, 546, 301, 303, 381, 334, 339, 351, 359, 360, 367 ; Armour, Armourer, 172. seals on"
291,,,8A,,,"pottery, 189, 222, 667, 668 ; “reserved slip ” wares, 668 ; seals, 291, 344, 654 ;spindle-whorls, 655, 660 ; trade route through, 288, 656 ; weight, 402. Ass, use as drau"
340,,,8A,,,"ndus Valley art, 340; on Antelope cervicapra, 539. Sumerian seals, 340. Antimony, 196, 228 ; presence of, in metals, 479, |Astronomical signs, 339. 480. Antlers, 64, 423."
656,,,8A,,,"52, 653, 658, 664, 670 ;raids from, 6, 442, 444, 647, 648 ; seals, 656, 666 ; skeletal remains, 613, 624-627, 630; stone vessels, 646 ;weapon (model), 661 ; weight, 402;"
218,,,8A,,,"315, 557; as motifs on pottery, 218-220, 224, 225, 296; on seals, 218, 327, 345, 664. Bird-chariots, 313-315. Bison, 308, 327; horns of, 275, 276, 327; possible model of"
327,,,8A,,,"8, 327; horns of, 275, 276, 327; possible model of, 305; on seals, 327. Bitumen, 413 ; as core for beads, 501 ; material resembling it, 212; use in Sumer, 581. stud, 666"
267,,,8A,,,"rahma, 297. Brahmani bull, horns of, 267, 328, 334, 670; on seals, 267, 328, 329, 334, 670, 671. Brahmi inscriptions on pottery, 187. Brahiis, xii. 164 ; deposit or polis"
343,,,8A,,,"9, 545, 547-549, 553, 554, 556; INDEX. 684 Burin, 340. Case-seals, 343, 437; method 344. Caspian Sea, 658. Burma, collars worn in, 265, 277 ; drinking tubes of, 436 ;head"
342,,,8A,,,"544; types of, 542, 543 ; vitreous paste, 542, 543. Button-seals, 342, 361 ; of Egypt, 342. Buttresses, 15, 52, 68, 78, 92, 164, Byblos, beads from, 521. 538; finger-rin"
365,,,8A,,,"524, 643, 659, 660, 321. Chupattis, 434. 666 ; on Sumerian seals, 365. Chutes, 15, 26, 27, 30, 71, 76, 83, 89-90, | Coins, 369 ; of Kushan period, 16, 187 ; Lycian, 357,"
334,,,8A,,,"of, 266, 273, 274, 278, 281, 537, 654, 655 ;on amulets and seals, 334, 352, Dances, 266, 273, 274, 278; ritual, 274, 334, 352. Danger Island, cord figures of, 667. 366;"
337,,,8A,,,"worn by figure on tablet, 366 ; skirts, worn by figures on seals, 337, jambs of, 16, 19, 20, 22, 26, ""49, 52, 53, 57, 58, 61, 70, 73, 87, 100, 103, 106, 108, 109, ll, 11"
302,,,8A,,,"5, 296, 299, 300, 301, vessels, 317, 318, 320, 321, 323, of seals, 302, 312, 313 ; sanctity in Crete and Sumer, 342, 343, 639 ; of weight, 402. 296 ; in other countries,"
266,,,8A,,,"n, 215 ; roofing in, 590; saws, 470; scaling ladders, 570 ; seals, 266, 342, 345, 364, 365, Enki, 287. Enkidu, 657. Enkomi, gameboard from, 576. 639, Ensigns, on boats, 3"
290,,,8A,,,"ughs, brickwork, on amulets, 85; in 359, 366, 367, of model seals, 290, 327, 329-330, cage, 426; on 332, 338. Feet, on amulet, 359 ; dressing of soles of, 416 ; position"
344,,,8A,,,"uffles for, 178, 201 ; pin-heads, 541 ; plaques, 266, 354 ; seals, 344, 347 ; spindlewhorls, 416, 417; studs, 532, 533, 666; various objects, 526, 544, 583 ; vessels, 209"
219,,,8A,,,"as motif on pottery, 219, 229 ; picto- graph, 327, 331 ; on seals, 219, 331, 345. Fish-hawk, ornament in shape of, 664. 51, 54, 56, 59, 66, 70, 73, 75-78, 79, 81, 82, 84,"
331,,,8A,,,". Flakes, of flint, 179, 395, 396, 645. Frontiers, Frog, on seal, 331. of Baliichistan, 647; N. W., 462, Flamingo, as vihana, 297. Flanges, of drain-pipes, 426. 648. Fru"
292,,,8A,,,"on pottery, 217, 218; as sacred animal, 275, 292, 338 5 on seals, 292, 332, 333, 337, 338, 3 671; in Sumer, 292; Garments, sewing of, 476, see Dress. | two-headed, 365."
669,,,8A,,,"305, 669 ; model, 305 ; on Gods and goddesses, see Deities. seals, 669, 671. |Godambi, motif, 224, Gold, 453 ; beads, 501, 514-516, 520, 528, 663 ; Gaza, dagger from, 466"
356,,,8A,,,"ibation vase of 506 ; statue of, 268. Guilloche, on foreign seals, 356. Gujarat, zebu of, 329, 670. Gums, 175, 188. served wood of, 462, 464; of razors, 468, 469 ; rings"
695,,,8A,,,"tting as 16,| 187. Hobble, 667; as hieroglyphic 667. Hollow seals, 695 sign in Egypt, manu- doors, 20, 98, 167 ; niches, see Niches ;partywalls, 65, 74, 76, 114, 148, 150"
217,,,8A,,,"nudity and semi-nudity of, 261, 262, 265, 269, 274, 275; on seals, 217, 334-341, 656, 659, 660 ; as statues, 10, 92, 257, 258, 264, 275, 335, 411, 412, 468, 532, 538, 585"
199,,,8A,,,"ings on sherds, 1; draw; on imple- 340, , 454, 442-444, on seals, 199, 333, eee 217, 218, 460, 463, 182, 183, 187; ; on pottery, 326, 327, 330- 342, 343-348 ; on Cretan"
666,,,8A,,,"Mehi-damb, figurines from, 653, 654, 665 ;hair- | pin, 653 ;seal, 666 ;pottery, 185, 646, 652, 653. Melanesian skulls, comparisons with, 630. Melophus melanicterus, Gmel"
348,,,8A,,,"04-606. 292, weights, of, 446 ; scrap, 443, 448, 452, 453 ; seal, 348 ; sheet, 445, 462, 468, 47h; smelting of, 42, 451; -smiths, 54, 406, 442, 446; sold by weight, 452"
339,,,8A,,,"; solar, 659, as beads, 512; on pottery, 216, 223, 340; on seals, 339, 656 ; spiral, 224 ; svastika, 656, 660 ; on bead, 523 ; on seals and amulets, 351, 355, 361, 362,"
657,,,8A,,,"arisons with objects from, beads, 499, 504, 655 ; motifs on seals, 657 ; pottery, 175, 651, 653 ; quartz beads, 499 ; “ reserv- ed slip ” ware, 652. uth | Ni National IND"
326,,,8A,,,"see pigments ; on cones, Odering, bracelets from, 535. 202, seals, 326, 330, 332, 334, 336, 339, 358, 426, 658, 669, 670. Ochre, red, 178, 179, 190, 205, 215, 228, 259, 3"
2,,,8A,,,"5, 118-121, 122, 123, 125, 143, saws, 470 ; sealings, 286 ; seals, 2: 290, 327, 328, 332, 339, 342, 344, 345, 3: , 369, 430, 639, 656, 657 ;spindle-whorls, 418; stone 1"
341,,,8A,,,"graphs, animals as, 219, 220, 332; on pottery, 181, 182; on seal, 341 ; of stone, | beads, 506; on bone or ivory rods,” 363, 421, 561, 563 ; on bracelets, 536, 537; on c"
289,,,8A,,,"ls of, 290, 304, 306 ; representation of, in Egypt 291 ; on seals, 289, 331; dance in, 266-268, 274, 334, 352 ; 7, 330, 331, 336, 345, 671 ;tusks of, 291. deities, see De"
671,,,8A,,,"el-’Arak knife-handle, 341; method morphic vessel, 188 ; on seals, 671, Sheet, metal, 445, 462, 468, 471. Sheffield University, 441. Shell, amulet Strombus Shell-fish, as"
346,,,8A,,,"156, 171 ; obstructions in, 14, 541 ; powdered, 350, 356 ; seals, 346, 348 ; | 84, 86, 172; paving of, 28, 171; rise in see Seals ; spacers, 518-520; staining of, levels"
183,,,8A,,,", 272. | Strombus caciniatus, Dilwyn, 422, Steering oar, on seal, 183, 341, 656. Strombus laciniatus, Dilwyn, 580. Stucco, on figurines, 260, 272, 273, 279. Steersman, o"
164,,,8A,,,", 287, 532, 7, 163, 651, 653, 658, 660, 664 ; querns, 393 ; seals, 164, 649 ; metal tools, 442 ; metal utensils, 222, 290, 332, 340, 345, 430, 656, 657 ; stone vessels, 7"
506,,,8A,,,", 647. Syro-Cappadocian seals, 356. Syro-Hittite art, 334 ; seals, 506. 624- | Syro-Mesopotamian buttons, 639. uses of, 581 ; sickle-flints, 509 ; signary of, 191, 327; s"
369,,,8A,,,"apons (model). 459, 662 ; weights, of pottery, 229-256 ; of seals, 369-391 ; of Lr 400, 401, 403, 604, 606, 672: wheels of skeletal remains, 633-638 ; of weight, rha6] ch"
328,,,8A,,,"ld, 480. represented on pottery, 216, 217-221, 226, 644; on seals, 328, 330, 337, 338, 341, 344, 658 ;sacred, 220, 221, 337, 338, 341, 351, 362; -spirits, 335, 338, 351,"
329,,,8A,,,"poura, arrow-heads from, 461. Zanzibar, 647. Zebu, 288 ; on seals, 329, 670, 671. Zoological Survey of India, xii, 116, 173, 299, 423, 579, 613, 632. Zorelia, figurines f"
